"brand","car_type","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","torque","rpm"
"Hyundai","i20 1.2 Asta Dual Tone",2018,8614,2388,"Petrol","Individual","Manual","First Owner",18.6,1200,81.83,"5",114.7,4000
"Maruti","Vitara Brezza LDi",2017,7670,16200,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Alto 800 CNG LXI Optional",2019,3894,10000,"CNG","Individual","Manual","Second Owner",33.44,800,40.3,"4",60,3500
"Maruti","Alto K10 VXI Airbag",2019,4318.8,15000,"Petrol","Individual","Manual","First Owner",23.95,1000,67.1,"5",90,3500
"Hyundai","Verna VTVT 1.6 SX Option",2019,13558.2,5000,"Petrol","Individual","Manual","First Owner",17,1600,121.3,"5",151,4850
"Datsun","GO D",2016,1770,42000,"Petrol","Individual","Manual","First Owner",20.63,1200,67,"5",104,4000
"Tata","Safari DICOR 2.2 LX 4x2",2011,5015,60000,"Diesel","Individual","Manual","Second Owner",13.93,2200,138.03,"7",320,1700
"Maruti","800 Std",2012,1770,76000,"Petrol","Individual","Manual","First Owner",16.1,800,37,"4",59,2500
"Jeep","Compass 1.4 Limited Plus BSIV",2019,24780,5000,"Petrol","Individual","Automatic","First Owner",16,1400,160.77,"5",250,1750
"Honda","City i VTEC VX",2018,10915,28900,"Petrol","Dealer","Manual","First Owner",17.8,1500,117.3,"5",145,4600
"Honda","City V MT",2013,5015,86300,"Petrol","Dealer","Manual","First Owner",16.8,1500,116.3,"5",146,4800
"Maruti","Swift Dzire VXi AT",2018,7965,23300,"Petrol","Dealer","Automatic","First Owner",18.5,1200,83.14,"5",115,4000
"Maruti","Vitara Brezza VDi",2018,9675.9882,32600,"Diesel","Dealer","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Alto K10 VXI",2018,4602,10300,"Petrol","Dealer","Manual","First Owner",23.95,1000,67.05,"5",90,3500
"Toyota","Fortuner 4x4 MT",2014,17700,77000,"Diesel","Dealer","Manual","First Owner",12.55,3000,168.5,"7",343,1400
"Toyota","Innova 2.5 G (Diesel) 7 Seater BS IV",2013,8260,99000,"Diesel","Dealer","Manual","First Owner",12.99,2500,100,"7",200,1400
"Mercedes-Benz","B Class B180",2014,17110,27800,"Diesel","Dealer","Automatic","Second Owner",14.8,2100,120.7,"5",200,1250
"Honda","Amaze S Diesel",2015,5015,49800,"Diesel","Dealer","Manual","First Owner",24.7,1500,98.63,"5",200,1750
"Mitsubishi","Pajero Sport 4X4",2013,12862,151000,"Diesel","Dealer","Manual","First Owner",13.5,2500,175.56,"7",400,2000
"Honda","City i DTEC S",2015,7080,54700,"Diesel","Dealer","Manual","First Owner",26,1500,98.6,"5",200,1750
"Maruti","Ciaz Zeta",2018,10030,64000,"Petrol","Dealer","Manual","First Owner",20.65,1500,103.25,"5",138,4400
"Honda","Jazz VX Diesel",2015,6195,63000,"Diesel","Dealer","Manual","First Owner",27.3,1500,98.6,"5",200,1750
"Toyota","Innova Crysta 2.8 ZX AT BSIV",2016,19470,127700,"Diesel","Dealer","Automatic","Second Owner",11.36,2800,171.5,"7",360,1200
"Toyota","Innova 2.5 G (Diesel) 7 Seater",2016,11210,99000,"Diesel","Dealer","Manual","First Owner",12.99,2500,100.6,"7",200,1200
"Audi","A6 2.0 TDI Technology",2013,20650,33900,"Diesel","Dealer","Automatic","Second Owner",17.68,2000,174.33,"5",380,1750
"Toyota","Corolla Altis 1.8 VL CVT",2018,18762,25000,"Petrol","Dealer","Automatic","First Owner",14.28,1800,138.03,"5",173,4000
"Audi","A6 2.0 TDI  Design Edition",2013,19941.9882,50000,"Diesel","Dealer","Automatic","First Owner",18.53,2000,187.74,"5",400,1750
"Mercedes-Benz","New C-Class 220 CDI AT",2013,16815,59000,"Diesel","Dealer","Automatic","First Owner",14.84,2100,170,"5",400,1400
"Tata","Manza ELAN Quadrajet BS IV",2011,3127,120000,"Diesel","Individual","Manual","First Owner",21.12,1200,88.8,"5",200,1750
"Hyundai","i10 Magna",2011,2242,110000,"Petrol","Individual","Manual","Third Owner",20.36,1200,78.9,"5",111.7,4000
"Hyundai","i20 Asta 1.4 CRDi",2013,5015,60000,"Diesel","Individual","Manual","First Owner",21.27,1400,88.76,"5",219.6,1500
"Maruti","Swift Dzire ZDI",2015,7434,147000,"Diesel","Individual","Manual","Second Owner",26.59,1200,74,"5",190,2000
"Ford","Figo 1.2P Titanium MT",2017,7080,25000,"Petrol","Individual","Manual","Third Owner",18.16,1200,86.8,"5",112,4000
"Maruti","Baleno Delta 1.2",2019,7670,30000,"Petrol","Individual","Manual","First Owner",21.4,1200,83.1,"5",115,4000
"Volkswagen","Ameo 1.5 TDI Highline 16 Alloy",2016,6372,40000,"Diesel","Individual","Manual","First Owner",22,1500,108.495,"5",250,1500
"Honda","City i DTEC VX",2015,7434,135000,"Diesel","Individual","Manual","First Owner",25.1,1500,98.6,"5",200,1750
"Maruti","Wagon R AMT VXI",2018,5286.4,30000,"Petrol","Individual","Automatic","First Owner",20.51,1000,67,"5",90,3500
"Volkswagen","Ameo 1.5 TDI Comfortline",2017,5900,80000,"Diesel","Individual","Manual","First Owner",21.66,1500,108.62,"5",250,1500
"Maruti","Vitara Brezza VDi",2016,8791,70000,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Vitara Brezza ZDi Plus AMT",2019,12095,9850,"Diesel","Individual","Automatic","First Owner",24.3,1200,88.5,"5",200,1750
"Hyundai","i10 Magna",2011,2773,60000,"Petrol","Individual","Manual","Second Owner",20.36,1200,78.9,"5",111.7,4000
"Maruti","Swift VDI Deca",2016,7434,70000,"Diesel","Individual","Manual","First Owner",25.2,1200,74,"5",190,2000
"Toyota","Fortuner 4x4 MT",2015,20060,78000,"Diesel","Individual","Manual","Second Owner",12.55,3000,168.5,"7",343,1400
"Maruti","Swift Star VDI",2013,5310,120000,"Diesel","Individual","Manual","Second Owner",22.9,1200,74,"5",190,2000
"Maruti","Ertiga ZXI",2012,5310,120000,"Petrol","Individual","Manual","Second Owner",16.02,1400,93.7,"7",130,4000
"Tata","Indica DLS",2003,590,70000,"Diesel","Individual","Manual","First Owner",NA,NA,NA,NA,NA,NA
"Volkswagen","Vento Diesel Highline",2013,5310,170000,"Diesel","Individual","Manual","First Owner",20.54,1600,103.6,"5",250,1500
"Toyota","Innova 2.5 VX (Diesel) 8 Seater",2016,14160,140000,"Diesel","Individual","Manual","First Owner",12.99,2500,100.6,"8",200,1200
"Ford","EcoSport 1.5 TDCi Titanium Plus BSIV",2015,7198,90000,"Diesel","Individual","Manual","First Owner",22.77,1500,98.59,"5",205,1750
"BMW","X1 sDrive20i xLine",2016,29500,30000,"Petrol","Individual","Automatic","Second Owner",15.71,2000,189,"5",280,1350
"Maruti","Celerio ZXI MT BSIV",2017,5722.9882,10000,"Petrol","Dealer","Manual","First Owner",23.1,1000,67.04,"5",90,3500
"Datsun","GO A Petrol",2016,3245,49000,"Petrol","Dealer","Manual","First Owner",19.02,1200,67.05,"5",104,4000
"Maruti","Alto 800 VXI BSIV",2016,3717,32000,"Petrol","Dealer","Manual","First Owner",24.7,800,47.3,"5",69,3500
"Maruti","Alto 800 LXI BSIV",2016,3245,38000,"Petrol","Dealer","Manual","First Owner",24.7,800,47.3,"5",69,3500
"Maruti","Swift VDI BSIV W ABS",2015,5605,78000,"Diesel","Dealer","Manual","First Owner",NA,NA,NA,NA,NA,NA
"Hyundai","i10 Era 1.1",2012,3422,28000,"Petrol","Dealer","Manual","First Owner",19.81,1100,68.05,"5",99.04,4500
"Maruti","Omni 8 Seater BSIV",2017,3304,32000,"Petrol","Dealer","Manual","First Owner",14,800,35,"5",59.841,3000
"Maruti","Wagon R LXI LPG BSIV",2010,2655,44000,"LPG","Dealer","Manual","First Owner",26.2,1000,58.2,"5",77,3500
"Volkswagen","Polo 1.2 MPI Comfortline",2015,5369,42000,"Petrol","Dealer","Manual","First Owner",16.47,1200,74,"5",110,3750
"Hyundai","i10 Magna 1.1L",2015,4141.8,45000,"Petrol","Dealer","Manual","Second Owner",19.81,1100,68.05,"5",99.04,4500
"Volkswagen","Vento Petrol Highline",2012,6313,12000,"Petrol","Dealer","Manual","Second Owner",15.04,1600,103.6,"5",153,3800
"Maruti","Zen Estilo LXI BSIII",2009,2065,55500,"Petrol","Dealer","Manual","First Owner",18.2,1000,67.1,"5",90,3500
"Hyundai","i20 Asta Optional with Sunroof 1.2",2013,6195,61500,"Petrol","Dealer","Manual","First Owner",18.5,1200,82.85,"5",113.7,4000
"Maruti","Swift Dzire LDI",2016,7080,150000,"Diesel","Individual","Manual","First Owner",26.59,1200,74,"5",190,2000
"Hyundai","Xcent 1.2 Kappa SX Option AT",2016,6667,72000,"Petrol","Dealer","Automatic","First Owner",19.1,1200,82,"5",114,4000
"Maruti","Alto LX BSIII",2008,1416,68000,"Petrol","Dealer","Manual","Third Owner",19.7,800,46.3,"5",62,3000
"Hyundai","i20 1.4 Asta Option",2017,8555,110000,"Diesel","Individual","Manual","First Owner",22.54,1400,88.73,"5",219.7,1500
"Maruti","Wagon R VXI",2009,2183,77000,"Petrol","Dealer","Manual","Second Owner",21.79,1000,67.05,"5",90,3500
"Tata","Manza Aura (ABS) Quadrajet",2010,2360,100000,"Diesel","Individual","Manual","Second Owner",18.8,1200,90,"5",200,1750
"Maruti","Swift VXI",2019,7257,10000,"Petrol","Individual","Manual","First Owner",21.21,1200,81.8,"5",113,4200
"Maruti","Eeco 7 Seater Standard BSIV",2016,3186,100000,"Petrol","Individual","Manual","Third Owner",15.37,1200,73,"7",101,3000
"Maruti","Baleno Zeta 1.2",2018,7198,35000,"Petrol","Individual","Manual","First Owner",21.4,1200,83.1,"5",115,4000
"Mahindra","Scorpio VLX AT AIRBAG BSIV",2014,7375,70000,"Diesel","Individual","Automatic","Second Owner",11.79,2200,120,"8",290,1800
"Ford","Freestyle Titanium Petrol BSIV",2020,4720,5000,"Petrol","Individual","Manual","Second Owner",19,1200,94.68,"5",120,4250
"Hyundai","Verna VTVT 1.6 SX",2017,10218.8,37800,"Petrol","Individual","Manual","First Owner",17,1600,121.3,"5",151,4850
"Volkswagen","Passat 1.8 TSI MT",2010,8260,114000,"Petrol","Individual","Manual","First Owner",14.3,1800,160,"5",250,1500
"Tata","Indica Vista Aura 1.2 Safire (ABS) BS IV",2010,3540,48000,"Petrol","Individual","Manual","First Owner",15.8,1200,65,"5",96,3000
"Mahindra","XUV500 W11 Option AWD",2019,20060,32000,"Diesel","Individual","Manual","First Owner",15.1,2200,155,"7",360,1750
"Tata","Indigo CS LS (TDI) BS-III",2016,4425,100000,"Diesel","Individual","Manual","First Owner",19.09,1400,69.01,"5",135,2500
"Hyundai","Verna 1.6 SX",2013,6159.6,150000,"Diesel","Individual","Manual","Second Owner",22.32,1600,126.32,"5",259.8,1900
"Hyundai","i20 Magna 1.4 CRDi (Diesel)",2013,5333.5882,69000,"Diesel","Individual","Manual","First Owner",21.9,1400,88.76,"5",219.6,1500
"Toyota","Corolla Altis G",2009,3540,100000,"Petrol","Individual","Manual","Second Owner",14.53,1800,138.1,"5",173,4000
"Maruti","Celerio VXI",2020,5605,13000,"Petrol","Individual","Manual","First Owner",21.63,1000,67.04,"5",90,3500
"Maruti","Vitara Brezza ZDi Plus Dual Tone",2016,9204,60000,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Swift Dzire VXI",2017,7021,40000,"Petrol","Individual","Manual","First Owner",20.85,1200,83.14,"5",115,4000
"Maruti","Wagon R VXI BS IV",2017,5192,35000,"Petrol","Individual","Manual","First Owner",20.51,1000,67.04,"5",90,3500
"Maruti","Swift VDI BSIV",2010,3540,120000,"Diesel","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
"Nissan","Terrano XL 85 PS",2014,4720,70000,"Diesel","Individual","Manual","Third Owner",20.45,1500,83.8,"5",200,1900
"Hyundai","Creta 1.6 CRDi SX",2016,13452,50000,"Diesel","Individual","Manual","First Owner",19.67,1600,126.2,"5",259.9,1900
"Ford","EcoSport 1.5 Diesel Titanium Plus BSIV",2017,10030,76139,"Diesel","Individual","Manual","First Owner",23,1500,98.96,"5",205,1750
"Maruti","Swift Dzire VDi",2012,4366,175000,"Diesel","Individual","Manual","Fourth & Above Owner",19.3,1200,73.9,"5",190,2000
"Renault","KWID 1.0",2018,4130,25000,"Petrol","Individual","Manual","First Owner",23.01,1000,67,"5",91,4250
"Maruti","Celerio VXI",2015,4248,40000,"Petrol","Individual","Manual","Second Owner",23.1,1000,67.04,"5",90,3500
"Maruti","Alto LXi",2008,1239,65000,"Petrol","Individual","Manual","Fourth & Above Owner",19.7,800,46.3,"5",62,3000
"Maruti","Ertiga VDI",2013,7375,90000,"Diesel","Individual","Manual","Second Owner",20.77,1200,88.76,"7",200,1750
"Hyundai","Santro Xing GLS",2009,1593,80000,"Petrol","Individual","Manual","Second Owner",17.92,1100,62.1,"5",96.1,3000
"Maruti","Ertiga VDI",2015,8260,110000,"Diesel","Individual","Manual","Second Owner",20.77,1200,88.76,"7",200,1750
"Honda","Amaze S i-VTEC",2019,8142,1303,"Petrol","Dealer","Manual","First Owner",17.8,1200,86.7,"5",109,4500
"Audi","Q5 35TDI Premium Plus",2018,46905,31800,"Diesel","Dealer","Automatic","First Owner",17.01,2000,188,"5",400,1750
"Lexus","ES 300h",2019,60770,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2500,214.56,"5",202,3600
"Jaguar","XF 2.0 Diesel Portfolio",2017,37760,45000,"Diesel","Dealer","Automatic","First Owner",19.33,2000,177,"5",430,1750
"Jeep","Wrangler 2016-2019 3.6 4X4",2017,48380,17000,"Petrol","Individual","Automatic","First Owner",9.5,3600,280,"5",347,4300
"Land","Rover Discovery Sport TD4 SE",2019,53100,21000,"Diesel","Dealer","Automatic","First Owner",12.83,2000,148.31,"7",382,1750
"Mercedes-Benz","S-Class S 350 CDI",2017,70800,37000,"Diesel","Dealer","Automatic","First Owner",13.5,3000,254.79,"5",620,1600
"BMW","5 Series 520d Sport Line",2018,44722,29500,"Diesel","Dealer","Automatic","First Owner",22.48,2000,187.74,"5",400,1750
"BMW","X1 sDrive 20D xLine",2017,25370,27000,"Diesel","Dealer","Automatic","First Owner",NA,NA,NA,NA,NA,NA
"BMW","X4 M Sport X xDrive20d",2019,68440,7500,"Diesel","Dealer","Automatic","First Owner",16.78,2000,190,"5",400,1750
"Skoda","Superb LK 1.8 TSI AT",2018,22006.9882,50000,"Petrol","Dealer","Automatic","First Owner",14.67,1800,177.46,"5",250,1250
"Mercedes-Benz","E-Class E250 Edition E",2016,31860,35000,"Diesel","Dealer","Automatic","First Owner",15,2100,204,"5",500,1600
"MG","Hector Sharp AT BSIV",2019,20650,19000,"Petrol","Dealer","Automatic","First Owner",13.96,1500,141,"5",250,1600
"Honda","City i-VTEC CVT VX",2017,9381,41000,"Petrol","Dealer","Automatic","First Owner",18,1500,117.6,"5",145,4600
"Toyota","Corolla Altis 1.8 G CVT",2013,7375,39000,"Petrol","Dealer","Automatic","First Owner",14.28,1800,138.03,"5",173,4000
"Volvo","XC40 D4 R-Design",2018,40120,22000,"Diesel","Dealer","Automatic","First Owner",18,2000,190,"5",400,NA
"Audi","Q7 35 TDI Quattro Premium",2015,31270,53000,"Diesel","Dealer","Automatic","First Owner",12.07,3000,241.4,"7",550,1750
"Maruti","Ciaz ZDi",2015,6313,40000,"Diesel","Dealer","Manual","First Owner",26.21,1200,88.5,"5",200,1750
"Mercedes-Benz","S-Class S 350 CDI",2017,69030,47000,"Diesel","Dealer","Automatic","First Owner",13.5,3000,282,"5",490,1600
"BMW","5 Series 523i",2010,11505,72200,"Petrol","Dealer","Automatic","Second Owner",10.8,2500,150,"5",250,2750
"Hyundai","Elantra S",2016,9499,49900,"Petrol","Dealer","Manual","First Owner",16.3,1800,147.5,"5",177.5,4700
"Jaguar","XE 2016-2019 2.0L Diesel Prestige",2017,30975,9000,"Diesel","Dealer","Automatic","First Owner",13.6,2000,177,"5",430,1750
"Tata","Nexon 1.2 Revotron XZ Plus Dual Tone",2018,9569.8,11000,"Petrol","Dealer","Manual","First Owner",17,1200,108.5,"5",170,1750
"Volkswagen","Vento Petrol Highline",2011,4425,49000,"Petrol","Individual","Manual","First Owner",15.04,1600,103.6,"5",153,3800
"Hyundai","Elantra SX",2012,6490,95000,"Petrol","Individual","Manual","First Owner",16.3,1800,147.5,"5",177.5,4700
"Skoda","Rapid 1.6 MPI AT Elegance",2016,7611,11000,"Petrol","Dealer","Automatic","First Owner",14.3,1600,103.5,"5",153,3800
"Mercedes-Benz","CLA 200 CGI Sport",2018,30090,18000,"Petrol","Dealer","Automatic","First Owner",15.04,2000,183,"5",300,1200
"Maruti","Ertiga ZXI",2014,7068.2,46100,"Petrol","Dealer","Manual","First Owner",16.02,1400,93.7,"7",130,4000
"Mercedes-Benz","New C-Class C 200 AVANTGARDE",2017,31860,16000,"Petrol","Dealer","Automatic","First Owner",14.74,2000,181.04,"5",300,1200
"Honda","City V AT",2017,10325,18000,"Petrol","Dealer","Automatic","First Owner",15.6,1500,116.3,"5",146,4800
"Toyota","Glanza V CVT",2019,10560.9882,9654,"Petrol","Dealer","Automatic","First Owner",19.56,1200,81.8,"5",113,4200
"Maruti","Alto K10 VXI",2011,2065,11000,"Petrol","Dealer","Manual","First Owner",23.95,1000,67.05,"5",90,3500
"Maruti","Swift VXI",2012,4012,24300,"Petrol","Dealer","Manual","First Owner",21.21,1200,81.8,"5",113,4200
"Toyota","Innova Crysta 2.8 ZX AT BSIV",2016,17995,42163,"Diesel","Dealer","Automatic","Second Owner",11.36,2800,171.5,"7",360,1200
"Tata","Nexon 1.5 Revotorq XZA Plus DualTone",2018,12095,8000,"Diesel","Dealer","Automatic","First Owner",21.5,1500,108.5,"5",260,1500
"BMW","3 Series 320d Luxury Line",2016,25370,30000,"Diesel","Dealer","Automatic","First Owner",22.69,2000,190,"5",400,1750
"Toyota","Camry 2.5 Hybrid",2016,22420,41000,"Petrol","Dealer","Automatic","First Owner",19.16,2500,157.7,"5",213,4500
"BMW","5 Series 520d Luxury Line",2016,34220,12000,"Diesel","Dealer","Automatic","First Owner",18.12,2000,190,"5",400,1750
"Toyota","Camry W4 (AT)",2009,5310,71000,"Petrol","Dealer","Automatic","First Owner",12.1,2400,164.7,"5",224,4000
"Maruti","Ertiga BSIV ZXI Plus",2016,10030,20000,"Petrol","Individual","Manual","First Owner",17.5,1400,91.1,"7",130,4000
"Volvo","XC90 T8 Excellence BSIV",2017,118000,30000,"Petrol","Individual","Automatic","First Owner",42,2000,400,"4",640,1740
"Volkswagen","Vento Diesel Highline",2011,3540,100000,"Diesel","Individual","Manual","Second Owner",20.54,1600,103.6,"5",250,1500
"Ford","Figo Aspire 1.2 Ti-VCT Trend",2018,6785,9500,"Petrol","Individual","Manual","First Owner",18.16,1200,86.8,"5",112,4000
"Ford","Figo Diesel LXI",2011,1888,120000,"Diesel","Individual","Manual","First Owner",20,1400,68,"5",160,2000
"Maruti","Swift VXI Optional",2015,6077,36600,"Petrol","Individual","Manual","First Owner",20.4,1200,81.8,"5",113,4200
"Maruti","Wagon R AMT VXI",2015,4602,50000,"Petrol","Individual","Automatic","Second Owner",20.51,1000,67,"5",90,3500
"Hyundai","i20 Magna 1.2",2016,6490,14000,"Petrol","Individual","Manual","Second Owner",18.6,1200,81.83,"5",114.7,4000
"Maruti","800 Std",1999,472,40000,"Petrol","Individual","Manual","Second Owner",16.1,800,37,"4",59,2500
"Maruti","Ritz VDi",2010,2596,120000,"Diesel","Individual","Manual","First Owner",21.1,1200,73.9,"5",113,4500
"Hyundai","Grand i10 Magna",2015,5015,70000,"Petrol","Individual","Manual","First Owner",18.9,1200,82,"5",114,4000
"Volkswagen","Ameo 1.0 MPI Trendline",2019,5664,13000,"Petrol","Individual","Manual","First Owner",19.44,1000,75,"5",95,3000
"Hyundai","Grand i10 Sportz",2014,4720,60000,"Petrol","Individual","Manual","Second Owner",18.9,1200,82,"5",114,4000
"Maruti","Swift Dzire VXI",2014,5746.6,35000,"Petrol","Individual","Manual","First Owner",19.1,1200,85.8,"5",114,4000
"Hyundai","Xcent 1.2 Kappa S",2016,4554.8,44000,"Petrol","Individual","Manual","Second Owner",19.1,1200,82,"5",114,4000
"Honda","City 1.5 EXI",2005,1180,120000,"Petrol","Individual","Manual","Second Owner",13,1500,100,"5",128.511,4600
"Toyota","Corolla Altis Diesel D4DG",2010,3540,60000,"Diesel","Individual","Manual","First Owner",21.43,1400,87.2,"5",205,1800
"Daewoo","Matiz SD",2000,1180,60000,"Petrol","Individual","Manual","First Owner",18.5,800,53,"5",71,3500
"Toyota","Fortuner 4x2 Manual",2014,20650,30000,"Diesel","Individual","Manual","Second Owner",13,3000,168.5,"7",343,1400
"Mahindra","KUV 100 mFALCON G80 K8",2016,5310,15000,"Petrol","Individual","Manual","Second Owner",18.15,1200,82,"6",115,3500
"Tata","Zest Quadrajet 1.3 75PS XM",2017,5782,90000,"Diesel","Individual","Manual","First Owner",22.95,1200,74,"5",190,1750
"Honda","City 1.5 S MT",2009,4071,47000,"Petrol","Individual","Manual","Second Owner",17,1500,118,"5",146,4800
"Maruti","Zen LXI",2005,1003,90000,"Petrol","Individual","Manual","First Owner",17.3,1000,60,"5",78,4500
"Maruti","Wagon R VXI BS IV with ABS",2010,2537,120600,"Petrol","Individual","Manual","Second Owner",18.9,1000,67.1,"5",90,3500
"Hyundai","Verna Transform SX VTVT",2010,3776,100000,"Petrol","Individual","Manual","Third Owner",16.2,1600,103.2,"5",146.169,3000
"Maruti","Swift Dzire VXI",2016,5427.9882,60000,"Petrol","Individual","Manual","Second Owner",20.85,1200,83.14,"5",115,4000
"Hyundai","Getz GLS",2005,767,86000,"Petrol","Individual","Manual","First Owner",15.3,1300,83,"5",115,3200
"Hyundai","Elite i20 Sportz Plus BSIV",2020,8496,5000,"Petrol","Individual","Manual","First Owner",18.6,1200,81.86,"5",117,4000
"Maruti","Ciaz 1.3 Alpha",2017,9440,37000,"Diesel","Individual","Manual","First Owner",28.09,1200,88.5,"5",200,1750
"Tata","Tigor 1.2 Revotron XZ",2019,6136,14000,"Petrol","Individual","Manual","First Owner",20.3,1200,84,"5",114,3500
"Maruti","Ertiga VDI",2015,6844,70000,"Diesel","Individual","Manual","First Owner",20.77,1200,88.76,"7",200,1750
"Toyota","Etios GD",2012,2773,120000,"Diesel","Individual","Manual","First Owner",NA,NA,NA,NA,NA,NA
"Honda","City i VTEC S",2015,7080,50000,"Petrol","Individual","Manual","First Owner",17.4,1500,117.3,"5",145,4600
"Honda","Brio S MT",2014,3422,60000,"Petrol","Individual","Manual","Second Owner",19.4,1200,86.8,"5",109,4500
"Maruti","Wagon R LXI CNG",2016,4248,50000,"CNG","Individual","Manual","First Owner",26.6,1000,58.16,"5",77,3500
"Maruti","Swift Dzire VXI",2017,6490,50000,"Petrol","Individual","Manual","First Owner",20.85,1200,83.14,"5",115,4000
"Hyundai","i20 Sportz 1.2",2013,4425,70000,"Petrol","Individual","Manual","First Owner",18.5,1200,82.85,"5",113.7,4000
"Maruti","Omni E 8 Str STD",2003,472,90000,"Petrol","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
