"brand","car_type","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","torque","rpm"
"Maruti","Ertiga SHVS VDI",2016,9336,70000,"Diesel","Individual","Manual","Second Owner",24.52,1200,88.5,"7",200,1750
"Hyundai","i20 1.4 CRDi Asta",2012,6000,53000,"Diesel","Individual","Manual","Second Owner",23,1400,90,"5",219.744,1750
"Maruti","Alto LX",2002,1800,80000,"Petrol","Individual","Manual","Second Owner",19.7,800,46.3,"5",62,3000
"Hyundai","i20 2015-2017 Asta 1.4 CRDi",2016,8160,100000,"Diesel","Individual","Manual","First Owner",22.54,1400,88.73,"5",219.7,1500
"Mahindra","Verito 1.5 D4 BSIII",2011,2088,100000,"Diesel","Individual","Manual","Second Owner",21,1500,64.1,"5",160,2000
"Honda","WR-V i-DTEC VX",2017,11400,50000,"Diesel","Individual","Manual","First Owner",25.5,1500,98.6,"5",200,1750
"Maruti","Swift Dzire ZDI",2015,6300,40000,"Diesel","Individual","Manual","First Owner",26.59,1200,74,"5",190,2000
"Maruti","SX4 ZDI",2012,7200,72000,"Diesel","Individual","Manual","First Owner",21.5,1200,88.8,"5",200,1750
"Tata","Tigor 2017-2020 XZ",2018,6000,35000,"Petrol","Individual","Manual","First Owner",20.3,1200,83.81,"5",114,3500
"Maruti","Baleno Delta 1.2",2016,6900,45000,"Petrol","Individual","Manual","First Owner",21.4,1200,83.1,"5",115,4000
"Maruti","Alto 800 LXI",2017,3300,28000,"Petrol","Individual","Manual","First Owner",24.7,800,47.3,"5",69,3500
"Chevrolet","Enjoy TCDi LTZ 7 Seater",2013,3600,70000,"Diesel","Individual","Manual","First Owner",18.2,1200,73.8,"7",172.5,1750
"Maruti","Wagon R LXI Minor",2009,2640,120000,"Petrol","Individual","Manual","First Owner",18.9,1100,67,"5",84,3500
"Maruti","Omni E MPI STD BS IV",2018,3059.988,25000,"Petrol","Individual","Manual","First Owner",16.8,800,34.2,"8",59,2500
"Maruti","Vitara Brezza LDi Option",2017,8040,70000,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Fiat","Palio 1.2 ELX",2003,840,50000,"Petrol","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
"Maruti","Omni 8 Seater BSIV",2012,1800,35000,"Petrol","Individual","Manual","Second Owner",14,800,35,"5",59.841,3000
"Hyundai","i20 1.2 Asta Dual Tone",2018,8760,2388,"Petrol","Individual","Manual","First Owner",18.6,1200,81.83,"5",114.7,4000
"Maruti","Vitara Brezza LDi",2017,7800,16200,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Alto 800 CNG LXI Optional",2019,3960,10000,"CNG","Individual","Manual","Second Owner",33.44,800,40.3,"4",60,3500
"Maruti","Alto K10 VXI Airbag",2019,4392,15000,"Petrol","Individual","Manual","First Owner",23.95,1000,67.1,"5",90,3500
"Hyundai","Verna VTVT 1.6 SX Option",2019,13788,5000,"Petrol","Individual","Manual","First Owner",17,1600,121.3,"5",151,4850
"Datsun","GO D",2016,1800,42000,"Petrol","Individual","Manual","First Owner",20.63,1200,67,"5",104,4000
"Tata","Safari DICOR 2.2 LX 4x2",2011,5100,60000,"Diesel","Individual","Manual","Second Owner",13.93,2200,138.03,"7",320,1700
"Maruti","800 Std",2012,1800,76000,"Petrol","Individual","Manual","First Owner",16.1,800,37,"4",59,2500
"Jeep","Compass 1.4 Limited Plus BSIV",2019,25200,5000,"Petrol","Individual","Automatic","First Owner",16,1400,160.77,"5",250,1750
"Honda","City i VTEC VX",2018,11100,28900,"Petrol","Dealer","Manual","First Owner",17.8,1500,117.3,"5",145,4600
"Honda","City V MT",2013,5100,86300,"Petrol","Dealer","Manual","First Owner",16.8,1500,116.3,"5",146,4800
"Maruti","Swift Dzire VXi AT",2018,8100,23300,"Petrol","Dealer","Automatic","First Owner",18.5,1200,83.14,"5",115,4000
"Maruti","Vitara Brezza VDi",2018,9839.988,32600,"Diesel","Dealer","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Alto K10 VXI",2018,4680,10300,"Petrol","Dealer","Manual","First Owner",23.95,1000,67.05,"5",90,3500
"Toyota","Fortuner 4x4 MT",2014,18000,77000,"Diesel","Dealer","Manual","First Owner",12.55,3000,168.5,"7",343,1400
"Toyota","Innova 2.5 G (Diesel) 7 Seater BS IV",2013,8400,99000,"Diesel","Dealer","Manual","First Owner",12.99,2500,100,"7",200,1400
"Mercedes-Benz","B Class B180",2014,17400,27800,"Diesel","Dealer","Automatic","Second Owner",14.8,2100,120.7,"5",200,1250
"Honda","Amaze S Diesel",2015,5100,49800,"Diesel","Dealer","Manual","First Owner",24.7,1500,98.63,"5",200,1750
"Mitsubishi","Pajero Sport 4X4",2013,13080,151000,"Diesel","Dealer","Manual","First Owner",13.5,2500,175.56,"7",400,2000
"Honda","City i DTEC S",2015,7200,54700,"Diesel","Dealer","Manual","First Owner",26,1500,98.6,"5",200,1750
"Maruti","Ciaz Zeta",2018,10200,64000,"Petrol","Dealer","Manual","First Owner",20.65,1500,103.25,"5",138,4400
"Honda","Jazz VX Diesel",2015,6300,63000,"Diesel","Dealer","Manual","First Owner",27.3,1500,98.6,"5",200,1750
"Toyota","Innova Crysta 2.8 ZX AT BSIV",2016,19800,127700,"Diesel","Dealer","Automatic","Second Owner",11.36,2800,171.5,"7",360,1200
"Toyota","Innova 2.5 G (Diesel) 7 Seater",2016,11400,99000,"Diesel","Dealer","Manual","First Owner",12.99,2500,100.6,"7",200,1200
"Audi","A6 2.0 TDI Technology",2013,21000,33900,"Diesel","Dealer","Automatic","Second Owner",17.68,2000,174.33,"5",380,1750
"Toyota","Corolla Altis 1.8 VL CVT",2018,19080,25000,"Petrol","Dealer","Automatic","First Owner",14.28,1800,138.03,"5",173,4000
"Audi","A6 2.0 TDI  Design Edition",2013,20279.988,50000,"Diesel","Dealer","Automatic","First Owner",18.53,2000,187.74,"5",400,1750
"Mercedes-Benz","New C-Class 220 CDI AT",2013,17100,59000,"Diesel","Dealer","Automatic","First Owner",14.84,2100,170,"5",400,1400
"Tata","Manza ELAN Quadrajet BS IV",2011,3180,120000,"Diesel","Individual","Manual","First Owner",21.12,1200,88.8,"5",200,1750
"Hyundai","i10 Magna",2011,2280,110000,"Petrol","Individual","Manual","Third Owner",20.36,1200,78.9,"5",111.7,4000
"Hyundai","i20 Asta 1.4 CRDi",2013,5100,60000,"Diesel","Individual","Manual","First Owner",21.27,1400,88.76,"5",219.6,1500
"Maruti","Swift Dzire ZDI",2015,7560,147000,"Diesel","Individual","Manual","Second Owner",26.59,1200,74,"5",190,2000
"Ford","Figo 1.2P Titanium MT",2017,7200,25000,"Petrol","Individual","Manual","Third Owner",18.16,1200,86.8,"5",112,4000
"Maruti","Baleno Delta 1.2",2019,7800,30000,"Petrol","Individual","Manual","First Owner",21.4,1200,83.1,"5",115,4000
"Volkswagen","Ameo 1.5 TDI Highline 16 Alloy",2016,6480,40000,"Diesel","Individual","Manual","First Owner",22,1500,108.495,"5",250,1500
"Honda","City i DTEC VX",2015,7560,135000,"Diesel","Individual","Manual","First Owner",25.1,1500,98.6,"5",200,1750
"Maruti","Wagon R AMT VXI",2018,5376,30000,"Petrol","Individual","Automatic","First Owner",20.51,1000,67,"5",90,3500
"Volkswagen","Ameo 1.5 TDI Comfortline",2017,6000,80000,"Diesel","Individual","Manual","First Owner",21.66,1500,108.62,"5",250,1500
"Maruti","Vitara Brezza VDi",2016,8940,70000,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Vitara Brezza ZDi Plus AMT",2019,12300,9850,"Diesel","Individual","Automatic","First Owner",24.3,1200,88.5,"5",200,1750
"Hyundai","i10 Magna",2011,2820,60000,"Petrol","Individual","Manual","Second Owner",20.36,1200,78.9,"5",111.7,4000
"Maruti","Swift VDI Deca",2016,7560,70000,"Diesel","Individual","Manual","First Owner",25.2,1200,74,"5",190,2000
"Toyota","Fortuner 4x4 MT",2015,20400,78000,"Diesel","Individual","Manual","Second Owner",12.55,3000,168.5,"7",343,1400
"Maruti","Swift Star VDI",2013,5400,120000,"Diesel","Individual","Manual","Second Owner",22.9,1200,74,"5",190,2000
"Maruti","Ertiga ZXI",2012,5400,120000,"Petrol","Individual","Manual","Second Owner",16.02,1400,93.7,"7",130,4000
"Tata","Indica DLS",2003,600,70000,"Diesel","Individual","Manual","First Owner",NA,NA,NA,NA,NA,NA
"Volkswagen","Vento Diesel Highline",2013,5400,170000,"Diesel","Individual","Manual","First Owner",20.54,1600,103.6,"5",250,1500
"Toyota","Innova 2.5 VX (Diesel) 8 Seater",2016,14400,140000,"Diesel","Individual","Manual","First Owner",12.99,2500,100.6,"8",200,1200
"Ford","EcoSport 1.5 TDCi Titanium Plus BSIV",2015,7320,90000,"Diesel","Individual","Manual","First Owner",22.77,1500,98.59,"5",205,1750
"BMW","X1 sDrive20i xLine",2016,30000,30000,"Petrol","Individual","Automatic","Second Owner",15.71,2000,189,"5",280,1350
"Maruti","Celerio ZXI MT BSIV",2017,5819.988,10000,"Petrol","Dealer","Manual","First Owner",23.1,1000,67.04,"5",90,3500
"Datsun","GO A Petrol",2016,3300,49000,"Petrol","Dealer","Manual","First Owner",19.02,1200,67.05,"5",104,4000
"Maruti","Alto 800 VXI BSIV",2016,3780,32000,"Petrol","Dealer","Manual","First Owner",24.7,800,47.3,"5",69,3500
"Maruti","Alto 800 LXI BSIV",2016,3300,38000,"Petrol","Dealer","Manual","First Owner",24.7,800,47.3,"5",69,3500
"Maruti","Swift VDI BSIV W ABS",2015,5700,78000,"Diesel","Dealer","Manual","First Owner",NA,NA,NA,NA,NA,NA
"Hyundai","i10 Era 1.1",2012,3480,28000,"Petrol","Dealer","Manual","First Owner",19.81,1100,68.05,"5",99.04,4500
"Maruti","Omni 8 Seater BSIV",2017,3360,32000,"Petrol","Dealer","Manual","First Owner",14,800,35,"5",59.841,3000
"Maruti","Wagon R LXI LPG BSIV",2010,2700,44000,"LPG","Dealer","Manual","First Owner",26.2,1000,58.2,"5",77,3500
"Volkswagen","Polo 1.2 MPI Comfortline",2015,5460,42000,"Petrol","Dealer","Manual","First Owner",16.47,1200,74,"5",110,3750
"Hyundai","i10 Magna 1.1L",2015,4212,45000,"Petrol","Dealer","Manual","Second Owner",19.81,1100,68.05,"5",99.04,4500
"Volkswagen","Vento Petrol Highline",2012,6420,12000,"Petrol","Dealer","Manual","Second Owner",15.04,1600,103.6,"5",153,3800
"Maruti","Zen Estilo LXI BSIII",2009,2100,55500,"Petrol","Dealer","Manual","First Owner",18.2,1000,67.1,"5",90,3500
"Hyundai","i20 Asta Optional with Sunroof 1.2",2013,6300,61500,"Petrol","Dealer","Manual","First Owner",18.5,1200,82.85,"5",113.7,4000
"Maruti","Swift Dzire LDI",2016,7200,150000,"Diesel","Individual","Manual","First Owner",26.59,1200,74,"5",190,2000
"Hyundai","Xcent 1.2 Kappa SX Option AT",2016,6780,72000,"Petrol","Dealer","Automatic","First Owner",19.1,1200,82,"5",114,4000
"Maruti","Alto LX BSIII",2008,1440,68000,"Petrol","Dealer","Manual","Third Owner",19.7,800,46.3,"5",62,3000
"Hyundai","i20 1.4 Asta Option",2017,8700,110000,"Diesel","Individual","Manual","First Owner",22.54,1400,88.73,"5",219.7,1500
"Maruti","Wagon R VXI",2009,2220,77000,"Petrol","Dealer","Manual","Second Owner",21.79,1000,67.05,"5",90,3500
"Tata","Manza Aura (ABS) Quadrajet",2010,2400,100000,"Diesel","Individual","Manual","Second Owner",18.8,1200,90,"5",200,1750
"Maruti","Swift VXI",2019,7380,10000,"Petrol","Individual","Manual","First Owner",21.21,1200,81.8,"5",113,4200
"Maruti","Eeco 7 Seater Standard BSIV",2016,3240,100000,"Petrol","Individual","Manual","Third Owner",15.37,1200,73,"7",101,3000
"Maruti","Baleno Zeta 1.2",2018,7320,35000,"Petrol","Individual","Manual","First Owner",21.4,1200,83.1,"5",115,4000
"Mahindra","Scorpio VLX AT AIRBAG BSIV",2014,7500,70000,"Diesel","Individual","Automatic","Second Owner",11.79,2200,120,"8",290,1800
"Ford","Freestyle Titanium Petrol BSIV",2020,4800,5000,"Petrol","Individual","Manual","Second Owner",19,1200,94.68,"5",120,4250
"Hyundai","Verna VTVT 1.6 SX",2017,10392,37800,"Petrol","Individual","Manual","First Owner",17,1600,121.3,"5",151,4850
"Volkswagen","Passat 1.8 TSI MT",2010,8400,114000,"Petrol","Individual","Manual","First Owner",14.3,1800,160,"5",250,1500
"Tata","Indica Vista Aura 1.2 Safire (ABS) BS IV",2010,3600,48000,"Petrol","Individual","Manual","First Owner",15.8,1200,65,"5",96,3000
"Mahindra","XUV500 W11 Option AWD",2019,20400,32000,"Diesel","Individual","Manual","First Owner",15.1,2200,155,"7",360,1750
"Tata","Indigo CS LS (TDI) BS-III",2016,4500,100000,"Diesel","Individual","Manual","First Owner",19.09,1400,69.01,"5",135,2500
"Hyundai","Verna 1.6 SX",2013,6264,150000,"Diesel","Individual","Manual","Second Owner",22.32,1600,126.32,"5",259.8,1900
"Hyundai","i20 Magna 1.4 CRDi (Diesel)",2013,5423.988,69000,"Diesel","Individual","Manual","First Owner",21.9,1400,88.76,"5",219.6,1500
"Toyota","Corolla Altis G",2009,3600,100000,"Petrol","Individual","Manual","Second Owner",14.53,1800,138.1,"5",173,4000
"Maruti","Celerio VXI",2020,5700,13000,"Petrol","Individual","Manual","First Owner",21.63,1000,67.04,"5",90,3500
"Maruti","Vitara Brezza ZDi Plus Dual Tone",2016,9360,60000,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Maruti","Swift Dzire VXI",2017,7140,40000,"Petrol","Individual","Manual","First Owner",20.85,1200,83.14,"5",115,4000
"Maruti","Wagon R VXI BS IV",2017,5280,35000,"Petrol","Individual","Manual","First Owner",20.51,1000,67.04,"5",90,3500
"Maruti","Swift VDI BSIV",2010,3600,120000,"Diesel","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
"Nissan","Terrano XL 85 PS",2014,4800,70000,"Diesel","Individual","Manual","Third Owner",20.45,1500,83.8,"5",200,1900
"Hyundai","Creta 1.6 CRDi SX",2016,13680,50000,"Diesel","Individual","Manual","First Owner",19.67,1600,126.2,"5",259.9,1900
"Ford","EcoSport 1.5 Diesel Titanium Plus BSIV",2017,10200,76139,"Diesel","Individual","Manual","First Owner",23,1500,98.96,"5",205,1750
"Maruti","Swift Dzire VDi",2012,4440,175000,"Diesel","Individual","Manual","Fourth & Above Owner",19.3,1200,73.9,"5",190,2000
"Renault","KWID 1.0",2018,4200,25000,"Petrol","Individual","Manual","First Owner",23.01,1000,67,"5",91,4250
"Maruti","Celerio VXI",2015,4320,40000,"Petrol","Individual","Manual","Second Owner",23.1,1000,67.04,"5",90,3500
"Maruti","Alto LXi",2008,1260,65000,"Petrol","Individual","Manual","Fourth & Above Owner",19.7,800,46.3,"5",62,3000
"Maruti","Ertiga VDI",2013,7500,90000,"Diesel","Individual","Manual","Second Owner",20.77,1200,88.76,"7",200,1750
"Hyundai","Santro Xing GLS",2009,1620,80000,"Petrol","Individual","Manual","Second Owner",17.92,1100,62.1,"5",96.1,3000
"Maruti","Ertiga VDI",2015,8400,110000,"Diesel","Individual","Manual","Second Owner",20.77,1200,88.76,"7",200,1750
"Honda","Amaze S i-VTEC",2019,8280,1303,"Petrol","Dealer","Manual","First Owner",17.8,1200,86.7,"5",109,4500
"Audi","Q5 35TDI Premium Plus",2018,47700,31800,"Diesel","Dealer","Automatic","First Owner",17.01,2000,188,"5",400,1750
"Lexus","ES 300h",2019,61800,20000,"Petrol","Dealer","Automatic","First Owner",22.37,2500,214.56,"5",202,3600
"Jaguar","XF 2.0 Diesel Portfolio",2017,38400,45000,"Diesel","Dealer","Automatic","First Owner",19.33,2000,177,"5",430,1750
"Jeep","Wrangler 2016-2019 3.6 4X4",2017,49200,17000,"Petrol","Individual","Automatic","First Owner",9.5,3600,280,"5",347,4300
"Land","Rover Discovery Sport TD4 SE",2019,54000,21000,"Diesel","Dealer","Automatic","First Owner",12.83,2000,148.31,"7",382,1750
"Mercedes-Benz","S-Class S 350 CDI",2017,72000,37000,"Diesel","Dealer","Automatic","First Owner",13.5,3000,254.79,"5",620,1600
"BMW","5 Series 520d Sport Line",2018,45480,29500,"Diesel","Dealer","Automatic","First Owner",22.48,2000,187.74,"5",400,1750
"BMW","X1 sDrive 20D xLine",2017,25800,27000,"Diesel","Dealer","Automatic","First Owner",NA,NA,NA,NA,NA,NA
"BMW","X4 M Sport X xDrive20d",2019,69600,7500,"Diesel","Dealer","Automatic","First Owner",16.78,2000,190,"5",400,1750
"Skoda","Superb LK 1.8 TSI AT",2018,22379.988,50000,"Petrol","Dealer","Automatic","First Owner",14.67,1800,177.46,"5",250,1250
"Mercedes-Benz","E-Class E250 Edition E",2016,32400,35000,"Diesel","Dealer","Automatic","First Owner",15,2100,204,"5",500,1600
"MG","Hector Sharp AT BSIV",2019,21000,19000,"Petrol","Dealer","Automatic","First Owner",13.96,1500,141,"5",250,1600
"Honda","City i-VTEC CVT VX",2017,9540,41000,"Petrol","Dealer","Automatic","First Owner",18,1500,117.6,"5",145,4600
"Toyota","Corolla Altis 1.8 G CVT",2013,7500,39000,"Petrol","Dealer","Automatic","First Owner",14.28,1800,138.03,"5",173,4000
"Volvo","XC40 D4 R-Design",2018,40800,22000,"Diesel","Dealer","Automatic","First Owner",18,2000,190,"5",400,NA
"Audi","Q7 35 TDI Quattro Premium",2015,31800,53000,"Diesel","Dealer","Automatic","First Owner",12.07,3000,241.4,"7",550,1750
"Maruti","Ciaz ZDi",2015,6420,40000,"Diesel","Dealer","Manual","First Owner",26.21,1200,88.5,"5",200,1750
"Mercedes-Benz","S-Class S 350 CDI",2017,70200,47000,"Diesel","Dealer","Automatic","First Owner",13.5,3000,282,"5",490,1600
"BMW","5 Series 523i",2010,11700,72200,"Petrol","Dealer","Automatic","Second Owner",10.8,2500,150,"5",250,2750
"Hyundai","Elantra S",2016,9660,49900,"Petrol","Dealer","Manual","First Owner",16.3,1800,147.5,"5",177.5,4700
"Jaguar","XE 2016-2019 2.0L Diesel Prestige",2017,31500,9000,"Diesel","Dealer","Automatic","First Owner",13.6,2000,177,"5",430,1750
"Tata","Nexon 1.2 Revotron XZ Plus Dual Tone",2018,9732,11000,"Petrol","Dealer","Manual","First Owner",17,1200,108.5,"5",170,1750
"Volkswagen","Vento Petrol Highline",2011,4500,49000,"Petrol","Individual","Manual","First Owner",15.04,1600,103.6,"5",153,3800
"Hyundai","Elantra SX",2012,6600,95000,"Petrol","Individual","Manual","First Owner",16.3,1800,147.5,"5",177.5,4700
"Skoda","Rapid 1.6 MPI AT Elegance",2016,7740,11000,"Petrol","Dealer","Automatic","First Owner",14.3,1600,103.5,"5",153,3800
"Mercedes-Benz","CLA 200 CGI Sport",2018,30600,18000,"Petrol","Dealer","Automatic","First Owner",15.04,2000,183,"5",300,1200
"Maruti","Ertiga ZXI",2014,7188,46100,"Petrol","Dealer","Manual","First Owner",16.02,1400,93.7,"7",130,4000
"Mercedes-Benz","New C-Class C 200 AVANTGARDE",2017,32400,16000,"Petrol","Dealer","Automatic","First Owner",14.74,2000,181.04,"5",300,1200
"Honda","City V AT",2017,10500,18000,"Petrol","Dealer","Automatic","First Owner",15.6,1500,116.3,"5",146,4800
"Toyota","Glanza V CVT",2019,10739.988,9654,"Petrol","Dealer","Automatic","First Owner",19.56,1200,81.8,"5",113,4200
"Maruti","Alto K10 VXI",2011,2100,11000,"Petrol","Dealer","Manual","First Owner",23.95,1000,67.05,"5",90,3500
"Maruti","Swift VXI",2012,4080,24300,"Petrol","Dealer","Manual","First Owner",21.21,1200,81.8,"5",113,4200
"Toyota","Innova Crysta 2.8 ZX AT BSIV",2016,18300,42163,"Diesel","Dealer","Automatic","Second Owner",11.36,2800,171.5,"7",360,1200
"Tata","Nexon 1.5 Revotorq XZA Plus DualTone",2018,12300,8000,"Diesel","Dealer","Automatic","First Owner",21.5,1500,108.5,"5",260,1500
"BMW","3 Series 320d Luxury Line",2016,25800,30000,"Diesel","Dealer","Automatic","First Owner",22.69,2000,190,"5",400,1750
"Toyota","Camry 2.5 Hybrid",2016,22800,41000,"Petrol","Dealer","Automatic","First Owner",19.16,2500,157.7,"5",213,4500
"BMW","5 Series 520d Luxury Line",2016,34800,12000,"Diesel","Dealer","Automatic","First Owner",18.12,2000,190,"5",400,1750
"Toyota","Camry W4 (AT)",2009,5400,71000,"Petrol","Dealer","Automatic","First Owner",12.1,2400,164.7,"5",224,4000
"Maruti","Ertiga BSIV ZXI Plus",2016,10200,20000,"Petrol","Individual","Manual","First Owner",17.5,1400,91.1,"7",130,4000
"Volvo","XC90 T8 Excellence BSIV",2017,120000,30000,"Petrol","Individual","Automatic","First Owner",42,2000,400,"4",640,1740
"Volkswagen","Vento Diesel Highline",2011,3600,100000,"Diesel","Individual","Manual","Second Owner",20.54,1600,103.6,"5",250,1500
"Ford","Figo Aspire 1.2 Ti-VCT Trend",2018,6900,9500,"Petrol","Individual","Manual","First Owner",18.16,1200,86.8,"5",112,4000
"Ford","Figo Diesel LXI",2011,1920,120000,"Diesel","Individual","Manual","First Owner",20,1400,68,"5",160,2000
"Maruti","Swift VXI Optional",2015,6180,36600,"Petrol","Individual","Manual","First Owner",20.4,1200,81.8,"5",113,4200
"Maruti","Wagon R AMT VXI",2015,4680,50000,"Petrol","Individual","Automatic","Second Owner",20.51,1000,67,"5",90,3500
"Hyundai","i20 Magna 1.2",2016,6600,14000,"Petrol","Individual","Manual","Second Owner",18.6,1200,81.83,"5",114.7,4000
"Maruti","800 Std",1999,480,40000,"Petrol","Individual","Manual","Second Owner",16.1,800,37,"4",59,2500
"Maruti","Ritz VDi",2010,2640,120000,"Diesel","Individual","Manual","First Owner",21.1,1200,73.9,"5",113,4500
"Hyundai","Grand i10 Magna",2015,5100,70000,"Petrol","Individual","Manual","First Owner",18.9,1200,82,"5",114,4000
"Volkswagen","Ameo 1.0 MPI Trendline",2019,5760,13000,"Petrol","Individual","Manual","First Owner",19.44,1000,75,"5",95,3000
"Hyundai","Grand i10 Sportz",2014,4800,60000,"Petrol","Individual","Manual","Second Owner",18.9,1200,82,"5",114,4000
"Maruti","Swift Dzire VXI",2014,5844,35000,"Petrol","Individual","Manual","First Owner",19.1,1200,85.8,"5",114,4000
"Hyundai","Xcent 1.2 Kappa S",2016,4632,44000,"Petrol","Individual","Manual","Second Owner",19.1,1200,82,"5",114,4000
"Honda","City 1.5 EXI",2005,1200,120000,"Petrol","Individual","Manual","Second Owner",13,1500,100,"5",128.511,4600
"Toyota","Corolla Altis Diesel D4DG",2010,3600,60000,"Diesel","Individual","Manual","First Owner",21.43,1400,87.2,"5",205,1800
"Daewoo","Matiz SD",2000,1200,60000,"Petrol","Individual","Manual","First Owner",18.5,800,53,"5",71,3500
"Toyota","Fortuner 4x2 Manual",2014,21000,30000,"Diesel","Individual","Manual","Second Owner",13,3000,168.5,"7",343,1400
"Mahindra","KUV 100 mFALCON G80 K8",2016,5400,15000,"Petrol","Individual","Manual","Second Owner",18.15,1200,82,"6",115,3500
"Tata","Zest Quadrajet 1.3 75PS XM",2017,5880,90000,"Diesel","Individual","Manual","First Owner",22.95,1200,74,"5",190,1750
"Honda","City 1.5 S MT",2009,4140,47000,"Petrol","Individual","Manual","Second Owner",17,1500,118,"5",146,4800
"Maruti","Zen LXI",2005,1020,90000,"Petrol","Individual","Manual","First Owner",17.3,1000,60,"5",78,4500
"Maruti","Wagon R VXI BS IV with ABS",2010,2580,120600,"Petrol","Individual","Manual","Second Owner",18.9,1000,67.1,"5",90,3500
"Hyundai","Verna Transform SX VTVT",2010,3840,100000,"Petrol","Individual","Manual","Third Owner",16.2,1600,103.2,"5",146.169,3000
"Maruti","Swift Dzire VXI",2016,5519.988,60000,"Petrol","Individual","Manual","Second Owner",20.85,1200,83.14,"5",115,4000
"Hyundai","Getz GLS",2005,780,86000,"Petrol","Individual","Manual","First Owner",15.3,1300,83,"5",115,3200
"Hyundai","Elite i20 Sportz Plus BSIV",2020,8640,5000,"Petrol","Individual","Manual","First Owner",18.6,1200,81.86,"5",117,4000
"Maruti","Ciaz 1.3 Alpha",2017,9600,37000,"Diesel","Individual","Manual","First Owner",28.09,1200,88.5,"5",200,1750
"Tata","Tigor 1.2 Revotron XZ",2019,6240,14000,"Petrol","Individual","Manual","First Owner",20.3,1200,84,"5",114,3500
"Maruti","Ertiga VDI",2015,6960,70000,"Diesel","Individual","Manual","First Owner",20.77,1200,88.76,"7",200,1750
"Toyota","Etios GD",2012,2820,120000,"Diesel","Individual","Manual","First Owner",NA,NA,NA,NA,NA,NA
"Honda","City i VTEC S",2015,7200,50000,"Petrol","Individual","Manual","First Owner",17.4,1500,117.3,"5",145,4600
"Honda","Brio S MT",2014,3480,60000,"Petrol","Individual","Manual","Second Owner",19.4,1200,86.8,"5",109,4500
"Maruti","Wagon R LXI CNG",2016,4320,50000,"CNG","Individual","Manual","First Owner",26.6,1000,58.16,"5",77,3500
"Maruti","Swift Dzire VXI",2017,6600,50000,"Petrol","Individual","Manual","First Owner",20.85,1200,83.14,"5",115,4000
"Hyundai","i20 Sportz 1.2",2013,4500,70000,"Petrol","Individual","Manual","First Owner",18.5,1200,82.85,"5",113.7,4000
"Maruti","Omni E 8 Str STD",2003,480,90000,"Petrol","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
